,SOURCE,SYMBOL,SERIES,ISIN_NUMBER
259,NSE,RADIANTCMS,EQ,INE855R01021
260,NSE,RADICO,EQ,INE944F01028
261,NSE,RADIOCITY,EQ,INE919I01024
262,NSE,RAILTEL,EQ,INE0DD101019
263,NSE,PREMEXPLN,EQ,INE863B01029
264,NSE,RAIN,EQ,INE855B01025
265,NSE,RAJMET,EQ,INE00KV01022
266,NSE,RAJOOENG,EQ,INE535F01024
267,NSE,RAJRATAN,EQ,INE451D01029
268,NSE,RAJRILTD,BE,INE533D01032
269,NSE,RAJSREESUG,EQ,INE562B01019
270,NSE,RAJTV,EQ,INE952H01027
271,NSE,RAINBOW,EQ,INE961O01016
272,NSE,RUPA,EQ,INE895B01021
273,NSE,NURECA,EQ,INE0DSF01015
274,NSE,NTPCGREEN,EQ,INE0ONG01011
275,NSE,MASKINVEST,BE,INE885F01015
276,NSE,MASFIN,EQ,INE348L01012
277,NSE,MARUTI,EQ,INE585B01010
278,NSE,MARKSANS,EQ,INE750C01026
279,NSE,MARKOLINES,EQ,INE0FW001016
280,NSE,MARINE,EQ,INE01JE01028
281,NSE,MARICO,EQ,INE196A01026
282,NSE,MARATHON,EQ,INE182D01020
283,NSE,MARALOVER,EQ,INE882A01013
284,NSE,MAPMYINDIA,EQ,INE0BV301023
285,NSE,MANYAVAR,EQ,INE825V01034
286,NSE,MANUGRAPH,EQ,INE867A01022
287,NSE,MANORG,EQ,INE370D01013
288,NSE,MANORAMA,EQ,INE00VM01036
289,NSE,MASTEK,EQ,INE759A01021
290,NSE,MANOMAY,BE,INE784W01015
291,NSE,MANINFRA,EQ,INE949H01023
292,NSE,MANINDS,EQ,INE993A01026
293,NSE,MANGLMCEM,EQ,INE347A01017
294,NSE,MANGALAM,BE,INE584F01014
295,NSE,MANCREDIT,EQ,INE545L01039
296,NSE,MANBA,EQ,INE939X01013
297,NSE,MANAPPURAM,EQ,INE522D01027
298,NSE,MANALIPETC,EQ,INE201A01024
299,NSE,MANAKSTEEL,EQ,INE824Q01011
300,NSE,MANAKSIA,EQ,INE015D01022
301,NSE,MANAKCOAT,EQ,INE830Q01018
302,NSE,MANAKALUCO,EQ,INE859Q01017
303,NSE,MAMATA,EQ,INE0TO701015
304,NSE,MALUPAPER,EQ,INE383H01017
305,NSE,MANKIND,EQ,INE634S01028
306,NSE,MALLCOM,EQ,INE389C01015
307,NSE,MASTERTR,EQ,INE677D01037
308,NSE,MAWANASUG,EQ,INE636A01039
309,NSE,MHLXMIRU,EQ,INE112D01035
310,NSE,MGL,EQ,INE002S01010
311,NSE,MGEL,EQ,INE0APB01032
312,NSE,MFSL,EQ,INE180A01020
313,NSE,MFML,EQ,INE0US801024
314,NSE,METROPOLIS,EQ,INE112L01020
315,NSE,METROBRAND,EQ,INE317I01021
316,NSE,MENONBE,EQ,INE071D01033
317,NSE,MEIL,EQ,INE0PKD01011
318,NSE,MEGASTAR,BE,INE00EM01016
319,NSE,MEGASOFT,BE,INE933B01012
320,NSE,MEESHO,EQ,INE0VDM01015
321,NSE,MEDPLUS,EQ,INE804L01022
322,NSE,MEDICO,EQ,INE630Y01024
323,NSE,MATRIMONY,EQ,INE866R01028
324,NSE,MEDICAMEQ,EQ,INE646B01010
325,NSE,MEDANTA,EQ,INE474Q01031
326,NSE,MCX,EQ,INE745G01043
327,NSE,MCLOUD,EQ,INE613C01026
328,NSE,MCLEODRUSS,EQ,INE942G01012
329,NSE,MCL,BE,INE813V01022
330,NSE,MBLINFRA,EQ,INE912H01013
331,NSE,MBEL,EQ,INE08N601015
332,NSE,MBAPL,EQ,INE900L01010
333,NSE,MAZDOCK,EQ,INE249Z01020
334,NSE,MAZDA,EQ,INE885E01042
335,NSE,MAYURUNIQ,EQ,INE040D01038
336,NSE,MAXIND,EQ,INE0CG601016
337,NSE,MAXHEALTH,EQ,INE027H01010
338,NSE,MAXESTATES,EQ,INE03EI01018
339,NSE,MEDIASSIST,EQ,INE456Z01021
340,NSE,MAITHANALL,EQ,INE683C01011
341,NSE,MAHSEAMLES,EQ,INE271B01025
342,NSE,MAHSCOOTER,EQ,INE288A01013
343,NSE,LODHA,EQ,INE670K01029
344,NSE,LMW,EQ,INE269B01029
345,NSE,LLOYDSME,EQ,INE281B01032
346,NSE,LLOYDSENT,EQ,INE080I01025
347,NSE,LLOYDSENGG,EQ,INE093R01011
348,NSE,LINDEINDIA,EQ,INE473A01011
349,NSE,LINCOLN,EQ,INE405C01035
350,NSE,LINC,EQ,INE802B01027
351,NSE,LIKHITHA,EQ,INE060901027
352,NSE,LICI,EQ,INE0J1Y01017
353,NSE,LICHSGFIN,EQ,INE115A01026
354,NSE,LIBERTSHOE,EQ,INE557B01019
355,NSE,LIBAS,EQ,INE908V01012
356,NSE,LGHL,EQ,INE258Y01016
357,NSE,LOKESHMACH,EQ,INE397H01017
358,NSE,LGEINDIA,EQ,INE324D01010
359,NSE,LFIC,EQ,INE850E01012
360,NSE,LEXUS,EQ,INE500X01013
361,NSE,LENSKART,EQ,INE956O01016
362,NSE,LEMONTREE,EQ,INE970X01018
363,NSE,LEMERITE,EQ,INE0G1L01017
364,NSE,LCCINFOTEC,BE,INE938A01021
365,NSE,LAXMIINDIA,EQ,INE06WU01026
366,NSE,LAXMIDENTL,EQ,INE0WO601020
367,NSE,LAXMICOT,EQ,INE801V01019
368,NSE,LAURUSLABS,EQ,INE947Q01028
369,NSE,LATTEYS,BE,INE262Z01023
370,NSE,LATENTVIEW,EQ,INE0I7C01011
371,NSE,LASA,EQ,INE670X01014
372,NSE,LAOPALA,EQ,INE059D01020
373,NSE,LGBBROSLTD,EQ,INE337A01034
374,NSE,LORDSCHLO,EQ,INE846D01012
375,NSE,LOTUSDEV,EQ,INE0V9Q01010
376,NSE,LOTUSEYE,EQ,INE947I01017
377,NSE,MAHLOG,EQ,INE766P01016
378,NSE,MAHLIFE,EQ,INE813A01018
379,NSE,MAHESHWARI,EQ,INE263W01010
380,NSE,MAHEPC,EQ,INE215D01010
381,NSE,MAHASTEEL,BE,INE451L01014
382,NSE,MAHAPEXLTD,EQ,INE843B01013
383,NSE,MAHABANK,EQ,INE457A01014
384,NSE,MAGNUM,EQ,INE387I01016
385,NSE,MAGADSUGAR,EQ,INE347W01011
386,NSE,MADRASFERT,EQ,INE414A01015
