SOURCE,ISIN_NUMBER,SYMBOL,SERIES
BSE,INE520A01027,ZENSARTECH,A
BSE,INE511D01012,JYOTI,X
BSE,INE581L01018,JSLINDL,X
BSE,INE813G01023,KAYCEEI,X
BSE,INE716F01012,INDOKEM,XT
BSE,INE795A01017,PANAENERG,X
BSE,INE045B01015,NELCO,B
BSE,INE418E01018,PERMAGN,XT
BSE,INE783E01023,HIGHENE,X
BSE,INE502C01039,STDBAT,X
BSE,INE279A01012,UNIVCABLES,B
BSE,INE100D01014,WSI,B
BSE,INE872E01016,DLTNCBL,X
BSE,INE284C01018,LAKSELEC,X
BSE,INE064R01012,MODULEX,Z
BSE,INE393A01011,DELTAMAGNT,B
BSE,INE180M01033,LONGSPUR,X
BSE,INE206N01018,RELTD,B
BSE,INE507F01023,EMPOWER,XT
BSE,INE017P01014,ZMULTIPU,XT
BSE,INE927M01029,GRANDMA,X
BSE,INE459E01012,SOFTBPO,P
BSE,INE812K01027,NYSSACORP,XT
BSE,INE952M01019,FLOMIC,X
BSE,INE537L01010,KRISHNA,XT
BSE,INE361D01012,UNIABEXAL,X
BSE,INE385C01021,SARDAEN,A
BSE,INE106G01014,BGWTATO,X
BSE,INE089T01023,BOMBWIR,X
BSE,INE255C01026,GALADA,XT
BSE,INE566M01017,AZADIND,X
BSE,INE323C01030,INDIANHUME,B
BSE,INE359D01024,INLCM,XT
BSE,INE155E01016,INVPRECQ,X
BSE,INE123E01014,INFORTEC,X
BSE,INE375D01012,KAIRA,X
BSE,INE569C01020,ORIENTCER,B
BSE,INE166R01015,NATIONSTD,B
BSE,INE336C01016,RATHIST,X
BSE,INE340F01011,DUNCANENG,X
BSE,INE149K01016,SANDUMA,B
BSE,INE755D01015,STOVACQ,X
BSE,INE149A01033,CHOLAHLDNG,A
BSE,INE380G01015,ZWELCAST,X
BSE,INE449A01011,AUTOAXLES,B
BSE,INE446A01025,ATLASCYCLE,B
BSE,INE451C01013,ACGL,B
BSE,INE878E01021,SETCO,B
BSE,INE187D01029,TALBROAUTO,B
BSE,INE116C01012,ZFSTEERING,B
BSE,INE294B01019,SMLMAH,B
BSE,INE806C01018,TIL,B
BSE,INE066A01021,EICHERMOT,A
BSE,INE280F01019,JAINEX,X
BSE,INE782D01027,ALFREDHE,X
BSE,INE232E01013,VELJAN,X
BSE,INE221B01012,DYNAMATECH,B
BSE,INE631D01026,GGDPROP,X
